"WKT"
"MULTILINESTRING ((1400042.642911958 -704873.84854561754,1399942.0618918857 -705089.03997732967))"
"MULTILINESTRING ((1399227.1287029751 -702520.05208665575,1399153.6198899543 -702615.35901765479))"
"MULTILINESTRING ((1400550.1797526048 -708154.97992069751,1400589.340689257 -708146.03149200138))"
"MULTILINESTRING ((1398563.9629072424 -704104.57138408767,1398673.4789091996 -704083.80603402876))"
"MULTILINESTRING ((1398757.2530106257 -703762.72152603487,1398735.4350710944 -703675.08812612633,1398614.2980849636 -703697.24112605467))"
"MULTILINESTRING ((1398642.4408968387 -702309.38238414191,1398570.994593242 -702312.339046799))"
"MULTILINESTRING ((1400123.7185093637 -705963.91172875103,1400149.391124239 -705966.23266658606))"
"MULTILINESTRING ((1398333.650375739 -705829.77297822398,1398428.3176377737 -705796.40286154614))"
"MULTILINESTRING ((1398162.2941062325 -703467.05436087621,1398026.8680247972 -703481.82674891048))"
"MULTILINESTRING ((1400628.8116937529 -711203.45500042336,1400788.7054071059 -711285.91177194577))"
"MULTILINESTRING ((1397921.0068063522 -702464.49859646813,1397972.2118359169 -702430.11927839357))"
"MULTILINESTRING ((1400910.8984879653 -711254.42098540941,1401010.0304704108 -711226.50956409064))"
"MULTILINESTRING ((1402438.9595521127 -711439.5397282606,1402408.5043224471 -711388.6417320919))"
"MULTILINESTRING ((1401205.1986418541 -711884.18729180715,1401393.6991231169 -711729.2496888825))"
"MULTILINESTRING ((1400110.3953157316 -707008.08753156313,1400160.8007724865 -707616.61209708441))"
